symbol,conf,only_side,test_volume_usd,average_pnl_pct,average_position_duration_s,positions_per_year,cost_per_year_pct,cost_per_year_usd,avg_chases_per_position,avg_turnover_per_usd,avg_turnover_per_year,avg_pos_pnl_pct,avg_neg_pnl_pct,positive_share,negative_share,zero_share,avg_pos_duration_s,avg_neg_duration_s,avg_zero_duration_s,avg_chases_pos,avg_chases_neg,avg_chases_zero
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),-1,40000,-0.02025911323935603,2543.8157516334886,12397.124272758134,-251.15474448417632,-100461.89779367052,2.0,24794.248545516268,991769941.8206507,0.39027635582468323,-0.057236189281262916,0.08257929326602534,0.9170397180683875,0.00038098866558719876,9160.093236216839,1949.0651838388033,30.287649999999996,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),-1,50000,-0.024170169595435376,2282.042248923012,13819.200768470924,-334.0124262473131,-167006.21312365655,2.0,27638.40153694185,1381920076.8470924,0.3819927964167845,-0.06010460626316106,0.08121924601275153,0.918321239158322,0.00045951482892645846,8789.017756011313,1707.665405917061,42.30975,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),-1,60000,-0.025689209969682346,2382.800567563427,13234.846604156917,-339.99275333072444,-203995.65199843465,2.0,26469.693208313834,1588181592.49883,0.41069544867986824,-0.0622953354369502,0.07735758736237434,0.9223743417903303,0.0002680708472953566,9163.297348267326,1810.6661291856096,14317.160357142862,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),-1,70000,-0.029627315716036537,2419.5647873448747,13033.748947308097,-386.15499502545583,-270308.4965178191,2.0,26067.497894616194,1824724852.6231337,0.4147832666967344,-0.06453075331355958,0.07279377968438792,0.9270147081354374,0.00019151218017465912,9363.274712444092,1874.7595389112694,245.2273,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),-1,80000,-0.030587775536758337,2490.337227853925,12663.345207739792,-387.34356075882914,-309874.84860706335,2.0,25326.690415479585,2026135233.2383668,0.46800110385798194,-0.06730585766226146,0.06857088085881338,0.9312565896674015,0.00017252947378510497,11305.966090299133,1841.676576977706,21.59477777777778,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),-1,90000,-0.0292706926082826,2759.9229130409894,11426.406096702323,-334.4588204739799,-301012.9384265819,2.0,22852.812193404647,2056753097.406418,0.49315392484011744,-0.06917944137888526,0.0709487825356843,0.9288794748492482,0.0001717426150675521,12159.85684830554,2042.4493696201491,38.289777777777786,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),1,10000,-0.013168073299535205,2262.479040423244,13938.69266258508,-183.54572668061385,-18354.572668061384,2.0,27877.38532517016,278773853.2517016,0.24950592047257952,-0.045312934360102565,0.1089027153665937,0.8902523332181127,0.0008449514152936206,7114.400037206842,1671.0595772773354,43.636295454545454,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),1,20000,-0.01637978393433843,2488.8369240574066,12670.978839621475,-207.54789562957407,-41509.57912591482,2.0,25341.95767924295,506839153.584859,0.2989056666008293,-0.0501809332013801,0.09675323434424507,0.9027307993655526,0.0005159662902023735,9548.895466324315,1733.5436406994224,52.65222222222222,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),1,30000,-0.017342794034018713,2648.6609879284083,11906.393511185132,-206.49013035246062,-61947.039105738186,2.0,23812.787022370263,714383610.6711079,0.35016597182903114,-0.054375123119722535,0.09146991622239146,0.907996953541508,0.0005331302361005332,10421.810604288094,1867.11937384667,75.29439285714285,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),1,40000,-0.02219114921443283,2435.8776434333904,12946.4630889874,-287.2968942068664,-114918.75768274655,2.0,25892.9261779748,1035717047.1189921,0.35957162494252837,-0.05711386884013784,0.08375531894410536,0.9158403450334058,0.0004043360224887845,11224.33867954023,1633.2173953243914,32.632619047619045,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),1,50000,-0.021809648161560433,2767.644157747505,11394.528415699986,-248.5106557133193,-124255.32785665964,2.0,22789.056831399972,1139452841.5699985,0.4077923079379986,-0.05998845981636056,0.08158494759632887,0.9181659673123719,0.0002490850912992662,11417.521498121183,1999.7865518781305,41.394769230769235,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),1,60000,-0.022216141056303845,2802.348002602174,11253.420335631636,-250.0075735422706,-150004.54412536236,2.0,22506.84067126327,1350410440.2757962,0.4523125142495507,-0.0624404459531471,0.07810347466707485,0.9215712536353896,0.00032527169753558856,12955.2265933366,1942.868119713485,25.768705882352943,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),1,70000,-0.02290436896750256,3021.606834835178,10436.831038516042,-239.04902895765434,-167334.32027035803,2.0,20873.662077032084,1461156345.392246,0.48620504542994236,-0.06435477445479748,0.07526329797346108,0.9245275845024904,0.00020911752404851526,16615.241505178077,1915.6615254564897,33.66372727272727,2.0,2.0,2.0
