symbol,conf,only_side,test_volume_usd,average_pnl_pct,average_position_duration_s,positions_per_year,cost_per_year_pct,cost_per_year_usd,avg_chases_per_position,avg_turnover_per_usd,avg_turnover_per_year
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,10000,-0.009123823415430301,1346.0606573690231,23428.36470805074,-213.75626250855422,-21375.62625085542,2.0,46856.72941610148,468567294.1610148
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,20000,-0.017371225820378266,1261.592223581195,24996.983502704963,-434.22824525375796,-86845.64905075158,2.0,49993.967005409926,999879340.1081985
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,30000,-0.019572780060547922,1404.1664983546755,22458.875095618743,-439.5826226538629,-131874.78679615888,2.0,44917.75019123749,1347532505.7371247
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,40000,-0.022325902959236744,1554.6760703230962,20284.611438990065,-452.87226655271587,-181148.90662108632,2.0,40569.22287798013,1622768915.1192052
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,50000,-0.028923360567346453,1488.538027384575,21185.888045742508,-612.7670788864456,-306383.53944322275,2.0,42371.776091485015,2118588804.5742507
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,60000,-0.029243264418487347,1668.262668495224,18903.497989585496,-552.7999901437926,-331679.9940862756,2.0,37806.99597917099,2268419758.7502594
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,70000,-0.029895941264549745,1713.0140764116475,18409.656075950254,-550.3739967471702,-385261.79772301915,2.0,36819.31215190051,2577351850.6330357
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,80000,-0.03555019960277077,1586.0601725944775,19883.230500904265,-706.8528130550465,-565482.2504440371,2.0,39766.46100180853,3181316880.1446824
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,90000,-0.034381128927066754,1766.9304561600718,17847.90108181997,-613.6309881715865,-552267.8893544279,2.0,35695.80216363994,3212622194.727595
ETHUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),-1,10000,-0.012295530786301422,1133.3068554153422,27826.53246056865,-342.14198654493765,-34214.19865449376,2.0,55653.0649211373,556530649.211373
ETHUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),-1,20000,-0.013907706032290438,1397.8279658258136,22560.71617609185,-313.76780845502515,-62753.56169100502,2.0,45121.4323521837,902428647.043674
ETHUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),-1,30000,-0.021900215842179566,1364.2202563269138,23116.50179195323,-506.25637875990645,-151876.91362797192,2.0,46233.00358390646,1386990107.5171938
ETHUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),-1,40000,-0.02457598315999187,1493.0680595071353,21121.60915853367,-519.0843109920534,-207633.72439682134,2.0,42243.21831706734,1689728732.6826935
ETHUSDC,Fixed volumes with 1 unit thresholds (separate sides) (v2),-1,50000,-0.027399457069592997,1572.9655297622414,20048.75466328036,-549.3249926953526,-274662.4963476763,2.0,40097.50932656072,2004875466.328036
