symbol,conf,only_side,test_volume_usd,average_pnl_pct,average_position_duration_s,positions_per_year,cost_per_year_pct,cost_per_year_usd,avg_chases_per_position,avg_turnover_per_usd,avg_turnover_per_year
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides),-1,300000,-0.06953914485515643,2279.4541806916995,13834.890943247832,-962.0664853578029,-2886199.456073409,2.0,27669.781886495664,8300934565.948699
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides),-1,500000,-0.08809288165596679,2568.580620233683,12277.597888724604,-1081.5689778309645,-5407844.889154823,2.0,24555.195777449208,12277597888.724604
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides),1,1000,-0.0035963426254858317,1127.778377909893,27962.94078491338,-100.56431587872022,-1005.6431587872023,2.0,55925.88156982676,55925881.56982676
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides),1,100000,-0.03906307745461726,1690.0778336518092,18659.495658764474,-728.8973241824111,-728897.3241824112,2.0,37318.99131752895,3731899131.752895
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides),1,200000,-0.05496712217546307,2197.3117744195238,14352.082561579611,-788.8926756346794,-1577785.351269359,2.0,28704.165123159222,5740833024.6318445
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides),1,300000,-0.06736926215909887,2406.7451454091233,13103.17382800379,-882.7511527350302,-2648253.458205091,2.0,26206.34765600758,7861904296.802274
ETHUSDC,Fixed volumes with 0.1% percent thresholds (separate sides),1,500000,-0.09055057029441001,2825.115438660235,11162.729695376778,-1010.791539958713,-5053957.699793565,2.0,22325.459390753556,11162729695.376778
ETHUSDC,Fixed volumes with 1 unit thresholds (separate sides),-1,1000,-0.0014648602775596288,1082.5527615291962,29131.143645555683,-42.67305516625811,-426.73055166258115,2.0,58262.287291111366,58262287.291111365
ETHUSDC,Fixed volumes with 1 unit thresholds (separate sides),-1,100000,-0.03540509419061061,1670.4002316256722,18879.307726932268,-668.4236683255596,-668423.6683255596,2.0,37758.615453864535,3775861545.3864536
ETHUSDC,Fixed volumes with 1 unit thresholds (separate sides),-1,200000,-0.052458832329453975,1861.2823638247546,16943.157369845045,-888.8182515962537,-1777636.5031925074,2.0,33886.31473969009,6777262947.938018
ETHUSDC,Fixed volumes with 1 unit thresholds (separate sides),-1,300000,-0.06600051332709733,2179.7956177413416,14467.411413863167,-954.856579829276,-2864569.739487828,2.0,28934.822827726333,8680446848.3179
ETHUSDC,Fixed volumes with 1 unit thresholds (separate sides),-1,500000,-0.08874562318809041,2623.633368343056,12019.97214264599,-1066.7199185026047,-5333599.592513024,2.0,24039.94428529198,12019972142.645988
ETHUSDC,Fixed volumes with 1 unit thresholds (separate sides),1,1000,-0.001704626684495383,1187.2900732716296,26561.32710105221,-45.277146952063994,-452.7714695206399,2.0,53122.65420210442,53122654.20210442
ETHUSDC,Fixed volumes with 1 unit thresholds (separate sides),1,100000,-0.03910255558681507,1827.3643984883477,17257.641675676485,-674.8178929204762,-674817.8929204762,2.0,34515.28335135297,3451528335.135297
