symbol,conf,only_side,test_volume_usd,target_perc,average_pnl_pct,average_position_duration_s,positions_per_year,cost_per_year_pct,cost_per_year_usd,avg_chases_per_position,avg_turnover_per_usd,avg_turnover_per_year,avg_pos_pnl_pct,avg_neg_pnl_pct,positive_share,negative_share,zero_share,avg_pos_duration_s,avg_neg_duration_s,avg_zero_duration_s,avg_chases_pos,avg_chases_neg,avg_chases_zero
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,30000,5,-0.021765070948252297,2126.1444758524085,14832.482156395636,-322.83002647263726,-96849.00794179118,2.0,29664.96431279127,889948929.3837382,0.3174507479635063,-0.054056310268246394,0.08684855623826049,0.9126632920526779,0.0004881517090615814,8466.52434457478,1523.9197440089301,27.55245652173913,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,50000,1,-0.024099598571202988,531.4292069440792,59341.864519159644,-1430.115113378461,-715057.5566892305,2.0,118683.72903831929,5934186451.915964,0.2892265339534888,-0.05874838546784778,0.09953180072597191,0.9002262086380136,0.00024199063601451943,1533.1687019027486,420.80781082723644,32.83234782608696,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,50000,2,-0.02435346760521653,995.0592874565014,31692.58394704304,-771.8243164799181,-385912.1582399591,2.0,63385.16789408608,3169258394.704304,0.3531660875626885,-0.05915533397504033,0.08436372867372519,0.9153506869889891,0.00028558433728567955,3380.994756394183,775.4562129651028,40.569148148148145,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,50000,3,-0.024114662154428645,1397.8273251735745,22560.7265161196,-544.0442978946842,-272022.14894734207,2.0,45121.4530322392,2256072651.61196,0.3901127903733336,-0.059612563114182775,0.07889753839680202,0.9208394698085419,0.00026299179465600676,5281.425519733333,1065.473212337922,23.059639999999998,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,50000,4,-0.0230771375109877,1845.01797632992,17092.516389857024,-394.4463511375416,-197223.1755687708,2.0,34185.03277971405,1709251638.9857025,0.41705807959183694,-0.06025194379889929,0.07784120394395433,0.9218198955762896,0.00033890047975599166,8169.0282829931975,1311.5848058616057,253.794125,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,50000,5,-0.02308707865311161,2213.6922187371065,14245.88284363715,-328.89581769406414,-164447.90884703206,2.0,28491.7656872743,1424588284.363715,0.4166743990460619,-0.06012018630762511,0.07762697161717567,0.922023929164595,0.00034909921822932644,9742.271459116924,1580.671345372771,35.47448484848485,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,70000,1,-0.02928852118845936,550.0833382451655,57329.49501907071,-1679.0961295897278,-1175367.2907128094,2.0,114658.99003814142,8026129302.669899,0.30836704736555,-0.06354513754303354,0.09206755100953598,0.9076873901230622,0.00024505886740184326,1603.0178438838097,443.42314304327925,31.89317391304348,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,70000,2,-0.029390328197151438,1002.7146070304526,31450.623915207656,-924.3441588731329,-647040.911211193,1.9999999999999998,62901.247830415305,4403087348.129071,0.3882751136742258,-0.06450028697432471,0.07750297720313032,0.9222099353521606,0.0002870874447090847,3671.3453285773085,778.7432745122908,33.53988888888889,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,70000,3,-0.026169639214044846,1464.4941385292293,21533.715410886627,-563.5295632408205,-394470.69426857436,2.0,43067.430821773254,3014720157.524128,0.458688508542714,-0.06444268966326651,0.07313948482080039,0.9266819981308215,0.0001785170483781201,6362.294634601579,1078.2027945425905,45.18694117647059,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,70000,4,-0.02811717644410227,1942.533006537896,16234.473182108466,-456.46754693839017,-319527.2828568731,2.0,32468.946364216932,2272826245.4951854,0.4567078443414874,-0.06421863120631137,0.06927614626147326,0.9305108929446089,0.00021296079391783972,9242.85190577928,1399.4577997780013,61.60350000000001,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,70000,5,-0.029461174438700378,2277.940343677565,13844.08511290839,-407.8630064556091,-285504.10451892635,1.9999999999999998,27688.170225816775,1938171915.8071742,0.4400957535886201,-0.0650207590738779,0.07036335347847715,0.929361458917666,0.0002751876038568601,9435.614770908544,1736.6821399774506,48.69034615384615,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,90000,1,-0.03102474614259221,593.9246223146223,53097.64710056809,-1647.3410220640721,-1482606.919857665,2.0,106195.29420113617,9557576478.102255,0.3426640227872396,-0.06750039427941244,0.08889599658830429,0.9109014339783571,0.0002025694333386641,1861.9395278244183,470.30193707717865,34.27721052631579,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,90000,2,-0.030967582138100337,1096.9768665982501,28748.099399574254,-890.2591294705887,-801233.2165235298,2.0,57496.19879914851,5174657891.923366,0.43814192823315157,-0.06858836767367339,0.07421788211893905,0.9256022598630963,0.00017985801796464203,4101.148986029936,856.2999857921749,28.203529411764706,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,90000,3,-0.029050054834714102,1589.7178784735872,19837.482126250092,-576.2799435502261,-518651.9491952035,2.0,39674.964252500184,3570746782.7250166,0.5032699109444618,-0.06878348514833885,0.06943455575273902,0.9303741644793471,0.0001912797679138816,6847.76607070707,1197.61643710523,77.8515,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,90000,4,-0.029885064073699702,2004.9811156304843,15728.826448364438,-470.05698621347375,-423051.28759212635,2.0,31457.652896728876,2831188760.705599,0.523281540220001,-0.0689623973409868,0.06596819656437802,0.9339148008296548,0.0001170026059671329,9445.601970977103,1479.6510305460013,32.397999999999996,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,90000,5,-0.0307697090902221,2459.915522052339,12819.952440354176,-394.46620714018087,-355019.5864261628,2.0,25639.904880708353,2307591439.2637515,0.5170761752417445,-0.06869101404134743,0.06470669485852715,0.9350276783152884,0.00026562682618443004,12026.89438686371,1798.5397561419059,39.470119999999994,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,10000,1,-0.013906504077180474,500.31273193332487,63032.575401664384,-876.5627668184314,-87656.27668184314,2.0,126065.15080332877,1260651508.0332878,0.20588103792984258,-0.044647216215889685,0.12256957682043462,0.8766785275553861,0.0007518956241792689,1387.6970982374287,376.6456199098849,34.789901408450696,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,10000,2,-0.013182184906455747,919.8738319156785,34282.96240836079,-451.9243496080834,-45192.434960808336,2.0,68565.92481672158,685659248.1672158,0.24239540270551485,-0.04526916294669341,0.11142028985507246,0.8877997364953887,0.0007799736495388669,2903.270237631255,671.7183356286358,50.33393243243243,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,10000,3,-0.010976397605477924,1402.9026188329362,22479.108369071655,-246.73963127555686,-24673.963127555686,2.0,44958.21673814331,449582167.3814331,0.2782605459690227,-0.04570039279032336,0.10709424974481116,0.8922571452875128,0.0006486049676760803,4738.862745532168,1003.4867851993088,45.34988524590164,2.0,2.0,2.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),1,10000,4,-0.010285443814979745,1878.7665263526414,16785.48108967146,-172.64612265522078,-17264.61226552208,2.0,33570.96217934292,335709621.7934292,0.2928892726628892,-0.04582990601392284,0.10485890091237005,0.8945576066199873,0.0005834924676426904,6545.674442836907,1332.9229385087935,30.754236363636362,2.0,2.0,2.0
